fila_original,severity,ndvi_med,evi_med,ndre_med,gli_med,height_med,motivo_revision
88,4,0.843450189,0.032958984,0.28609854,0.032958984,0.032958984,"EVI, GLI y altura tienen el mismo valor"
89,4,0.845626712,0.051757813,0.285598159,0.051757813,0.051757813,"EVI, GLI y altura tienen el mismo valor"
90,3,0.852814555,0.017578125,0.284311891,0.017578125,0.017578125,"EVI, GLI y altura tienen el mismo valor"
91,4,0.82328856,0.013671875,0.260070801,0.013671875,0.013671875,"EVI, GLI y altura tienen el mismo valor"
92,5,0.74187392,0.067626953,0.207409084,0.067626953,0.067626953,"EVI, GLI y altura tienen el mismo valor"
93,5,0.838420689,0.119140625,0.243039787,0.119140625,0.119140625,"EVI, GLI y altura tienen el mismo valor"
94,2,0.836937606,0.036865234,0.264867127,0.036865234,0.036865234,"EVI, GLI y altura tienen el mismo valor"
95,2,0.868797719,0.025634766,0.318040252,0.025634766,0.025634766,"EVI, GLI y altura tienen el mismo valor"
96,4,0.864161015,0.010498047,0.303800285,0.010498047,0.010498047,"EVI, GLI y altura tienen el mismo valor"
97,4,0.860414386,0.048583984,0.287651479,0.048583984,0.048583984,"EVI, GLI y altura tienen el mismo valor"
98,3,0.862127542,0.054443359,0.29527241,0.054443359,0.054443359,"EVI, GLI y altura tienen el mismo valor"
99,3,0.840308785,0.018310547,0.25677228,0.018310547,0.018310547,"EVI, GLI y altura tienen el mismo valor"
100,4,0.853451967,0.060913086,0.279944807,0.060913086,0.060913086,"EVI, GLI y altura tienen el mismo valor"
101,4,0.821997583,0.111450195,0.228775471,0.111450195,0.111450195,"EVI, GLI y altura tienen el mismo valor"
102,2,0.858349323,0.101196289,0.27966246,0.101196289,0.101196289,"EVI, GLI y altura tienen el mismo valor"
103,2,0.838164926,0.014160156,0.237207592,0.014160156,0.014160156,"EVI, GLI y altura tienen el mismo valor"
104,5,0.833333313,0.129150391,0.255072713,0.129150391,0.129150391,"EVI, GLI y altura tienen el mismo valor"
105,4,0.836514175,0.026367188,0.258621216,0.026367188,0.026367188,"EVI, GLI y altura tienen el mismo valor"
106,3,0.849830925,0.023925781,0.255537748,0.023925781,0.023925781,"EVI, GLI y altura tienen el mismo valor"
107,2,0.826086938,0.188964844,0.230191574,0.188964844,0.188964844,"EVI, GLI y altura tienen el mismo valor"
108,3,0.843429804,0.327148438,0.262531698,0.327148438,0.327148438,"EVI, GLI y altura tienen el mismo valor"
109,3,0.831902087,0.125732422,0.22012639,0.125732422,0.125732422,"EVI, GLI y altura tienen el mismo valor"
110,4,0.806405604,0.272949219,0.244052052,0.272949219,0.272949219,"EVI, GLI y altura tienen el mismo valor"
111,5,0.619002223,0.407104492,0.19106549,0.407104492,0.407104492,"EVI, GLI y altura tienen el mismo valor"
112,4,0.801709652,0.228271484,0.225892335,0.228271484,0.228271484,"EVI, GLI y altura tienen el mismo valor"
113,6,0.669920385,0.004882813,0.220434859,0.004882813,0.004882813,"EVI, GLI y altura tienen el mismo valor"
114,4,0.850263655,0.223632813,0.264429957,0.223632813,0.223632813,"EVI, GLI y altura tienen el mismo valor"
115,6,0.74238342,0.381347656,0.210466668,0.381347656,0.381347656,"EVI, GLI y altura tienen el mismo valor"
